feature	p__Proteobacteria	p__Bacteroidetes	p__Spirochaetes	p__Firmicutes	p__Fusobacteria	p__Actinobacteria	p__Synergistetes	p__Tenericutes	p__Chloroflexi
SRR9214876	62016	5693	0	6165	923	10871	0	0	0
SRR9214849	3469	60752	1066	2125	5040	1719	2584	0	0
SRR9214858	866	34426	48433	20967	1053	603	0	0	0
SRR9214820	6277	47836	17115	16735	11547	415	3656	388	386
SRR9214847	2307	42233	7863	9053	16115	388	2170	0	93
SRR9214816	4430	41920	106	23572	112	4266	3565	268	351
SRR9214825	2146	40525	16329	11322	14127	139	2793	0	41
SRR9214819	1364	35141	15298	22285	3990	2220	1846	356	25
SRR9214852	218	34903	3349	16114	5057	0	25	420	0
SRR9214813	221	19604	1507	34654	3806	284	1051	106	0
SRR9214841	1892	33026	5907	5348	4344	151	2751	223	37
SRR9214823	9300	29782	682	2569	362	266	94	0	0
SRR9214834	1114	26577	11557	5924	2129	106	2750	824	42
SRR9214824	2717	5392	105	26515	316	16270	60	16	0
SRR9214851	1346	25343	1939	6311	1851	358	566	0	0
SRR9214846	20898	5369	388	25040	594	937	50	21	0
SRR9214865	4083	23992	3181	4392	7710	1033	1743	0	139
SRR9214857	159	23657	2865	8591	21476	569	477	716	12
SRR9214845	1106	23116	1293	9277	2941	1625	32	30	25
SRR9214888	2338	22874	12358	10755	5304	367	6522	321	127
SRR9214835	3273	21996	10705	9597	3711	0	7600	390	578
SRR9214870	763	19824	11322	8534	6016	1118	715	637	61
SRR9214828	19088	1677	0	14839	517	262	0	0	0
SRR9214815	13394	10229	3492	18840	436	8372	1276	73	19
SRR9214850	3360	18802	2277	18330	3702	324	80	0	66
SRR9214829	17821	3965	47	9109	6247	13679	0	0	0
SRR9214874	17101	8676	134	7765	1002	1204	0	0	0
SRR9214868	5543	8093	0	16464	1184	1540	0	0	0
SRR9214818	926	12757	9527	5057	3139	36	3837	404	132
SRR9214833	5204	12676	27	6529	2620	2269	0	0	0
SRR9214866	6686	2243	0	7547	297	9328	0	0	0
SRR9214831	1188	1039	43	3490	3725	181	0	0	0
