Rank,confidence,taxon,A,P,Type
phylum,High,Spirochaetes,22,3,Abscess
phylum,Low,Tenericutes,19,6,Abscess
phylum,Low,Synergistetes,20,5,Abscess
phylum,Low,Proteobacteria,4,21,Plaque
phylum,Low,Gracilibacteria GN02,12,13,Plaque
phylum,Low,Absconditabacteria SR1,11,14,Plaque
genus,High,Treponema,22,3,Abscess
genus,Medium,Lancefieldella,22,3,Abscess
genus,Medium,Dialister,21,4,Abscess
genus,Low,Veillonellaceae G1,18,7,Abscess
genus,Low,Solobacterium,19,6,Abscess
genus,Low,Scardovia,19,6,Abscess
genus,Low,Peptostreptococcaceae G4,20,5,Abscess
genus,Low,Peptococcus,19,6,Abscess
genus,Low,Mycoplasma,19,6,Abscess
genus,Low,Lactobacillus,20,5,Abscess
genus,Low,Lacticaseibacillus,17,8,Abscess
genus,Low,Fretibacterium,20,5,Abscess
genus,Low,Bacteroidetes G5,19,6,Abscess
genus,Low,Bacteroidetes G3,21,4,Abscess
genus,Low,Acidipropionibacterium,20,5,Abscess
genus,Medium,Rothia,4,21,Plaque
genus,Medium,Neisseria,7,18,Plaque
genus,Medium,Leptotrichia,4,21,Plaque
genus,Medium,Lautropia,4,21,Plaque
genus,Medium,Lachnoanaerobaculum,7,18,Plaque
genus,Medium,Kingella,5,20,Plaque
genus,Medium,Haemophilus,6,19,Plaque
genus,Medium,Corynebacterium,3,22,Plaque
genus,Medium,Arachnia,6,19,Plaque
genus,Medium,Actinomyces,4,21,Plaque
genus,Medium,Abiotrophia,3,22,Plaque
genus,Low,Weeksellaceae G1,9,16,Plaque
genus,Low,Veillonella,8,17,Plaque
genus,Low,Streptococcus,6,19,Plaque
genus,Low,Schaalia,8,17,Plaque
genus,Low,Saccharibacteria TM7 G6,12,13,Plaque
genus,Low,Saccharibacteria TM7 G1,9,16,Plaque
genus,Low,Ruminococcaceae G1,10,15,Plaque
genus,Low,Riemerella,6,19,Plaque
genus,Low,Peptidiphaga,7,18,Plaque
genus,Low,Granulicatella,8,17,Plaque
genus,Low,Gracilibacteria GN02 G1,12,13,Plaque
genus,Low,Gemella,6,19,Plaque
genus,Low,Cardiobacterium,11,14,Plaque
genus,Low,Capnocytophaga,7,18,Plaque
genus,Low,Aggregatibacter,10,15,Plaque
genus,Low,Absconditabacteria SR1 G1,11,14,Plaque
species,Low,Veillonellaceae G1 bacterium HMT 150,20,5,Abscess
species,Low,Treponema sp HMT 237,20,5,Abscess
species,Low,Treponema sp HMT 231,20,5,Abscess
species,Low,Treponema socranskii,20,5,Abscess
species,Low,Treponema maltophilum,21,4,Abscess
species,Low,Treponema lecithinolyticum,20,5,Abscess
species,Low,Treponema denticola,19,6,Abscess
species,Low,Tannerella forsythia,20,5,Abscess
species,Low,Streptococcus constellatus,18,7,Abscess
species,Low,Solobacterium moorei,19,6,Abscess
species,Low,Selenomonas sp HMT 134,20,5,Abscess
species,Low,Prevotella sp HMT 315,19,6,Abscess
species,Low,Prevotella sp HMT 292,20,5,Abscess
species,Low,Prevotella pleuritidis,20,5,Abscess
species,Low,Prevotella oris,22,3,Abscess
species,Low,Prevotella nigrescens,19,6,Abscess
species,Low,Porphyromonas endodontalis,21,4,Abscess
species,Low,Peptostreptococcaceae G4 bacterium HMT 369,20,5,Abscess
species,Low,Peptostreptococcaceae G1 Eubacterium infirmum,20,5,Abscess
species,Low,Peptococcus sp HMT 167,21,4,Abscess
species,Low,Oribacterium sp HMT 078,19,6,Abscess
species,Low,Mycoplasma salivarium,19,6,Abscess
species,Low,Lacticaseibacillus casei,17,8,Abscess
species,Low,Fusobacterium nucleatum,19,6,Abscess
species,Low,Fretibacterium fastidiosum,20,5,Abscess
species,Low,Dialister pneumosintes,19,6,Abscess
species,Low,Dialister invisus,20,5,Abscess
species,Low,Alloprevotella tannerae,24,1,Abscess
species,Low,Alloprevotella rava,21,4,Abscess
species,Medium,Streptococcus sanguinis,2,23,Plaque
species,Medium,Lautropia mirabilis,4,21,Plaque
species,Medium,Haemophilus parainfluenzae,4,21,Plaque
species,Medium,Fusobacterium periodonticum,6,19,Plaque
species,Medium,Capnocytophaga sputigena,6,19,Plaque
species,Low,Weeksellaceae G1 sp HMT 907,12,13,Plaque
species,Low,Veillonella sp HMT 780,10,15,Plaque
species,Low,Streptococcus oralis subsp dentisani clade 058,4,21,Plaque
species,Low,Streptococcus lactarius,10,15,Plaque
species,Low,Streptococcus cristatus clade 578,6,19,Plaque
species,Low,Selenomonas sp HMT 137,11,14,Plaque
species,Low,Schaalia sp HMT 178,12,13,Plaque
species,Low,Saccharibacteria TM7 G6 bacterium HMT 870,12,13,Plaque
species,Low,Saccharibacteria TM7 G1 bacterium HMT 348,11,14,Plaque
species,Low,Ruminococcaceae G1 bacterium HMT 075,10,15,Plaque
species,Low,Rothia dentocariosa,8,17,Plaque
species,Low,Rothia aeria,8,17,Plaque
species,Low,Riemerella sp HMT 322,6,19,Plaque
species,Low,Prevotella melaninogenica,7,18,Plaque
species,Low,Porphyromonas sp HMT 930,8,17,Plaque
species,Low,Porphyromonas pasteri,7,18,Plaque
species,Low,Peptidiphaga sp HMT 183,10,15,Plaque
species,Low,Neisseria subflava,9,16,Plaque
species,Low,Neisseria perflava,12,13,Plaque
species,Low,Neisseria flava,6,19,Plaque
species,Low,Neisseria elongata,7,18,Plaque
species,Low,Leptotrichia sp HMT 498,10,15,Plaque
species,Low,Leptotrichia sp HMT 392,11,14,Plaque
species,Low,Leptotrichia sp HMT 215,8,17,Plaque
species,Low,Leptotrichia shahii,11,14,Plaque
species,Low,Leptotrichia hofstadii,10,15,Plaque
species,Low,Leptotrichia buccalis,8,17,Plaque
species,Low,Lachnoanaerobaculum umeaense,9,16,Plaque
species,Low,Kingella oralis,4,21,Plaque
species,Low,Haemophilus sp HMT 036,10,15,Plaque
species,Low,Granulicatella elegans,7,18,Plaque
species,Low,Gemella morbillorum,7,18,Plaque
species,Low,Corynebacterium matruchotii,4,21,Plaque
species,Low,Corynebacterium durum,6,19,Plaque
species,Low,Cardiobacterium hominis,10,15,Plaque
species,Low,Capnocytophaga granulosa,6,19,Plaque
species,Low,Arachnia propionica,7,18,Plaque
species,Low,Alloprevotella sp HMT 914,10,15,Plaque
species,Low,Alloprevotella sp HMT 473,11,14,Plaque
species,Low,Aggregatibacter sp HMT 458,11,14,Plaque
species,Low,Actinomyces sp HMT 169,10,15,Plaque
species,Low,Actinomyces oris,9,16,Plaque
species,Low,Actinomyces massiliensis,7,18,Plaque
species,Low,Absconditabacteria SR1 G1 bacterium HMT 874,13,12,Plaque
species,Low,Abiotrophia defectiva,3,22,Plaque
