Rank,pairing,confidence,taxon,A,P,Type
phylum,unpaired,High,Spirochaetes,22,3,Abscess
phylum,unpaired,Low,Tenericutes,19,6,Abscess
phylum,unpaired,Low,Synergistetes,20,5,Abscess
phylum,unpaired,Medium,Proteobacteria,4,21,Plaque
genus,unpaired,High,Treponema,22,3,Abscess
genus,unpaired,High,Dialister,21,4,Abscess
genus,unpaired,Medium,Veillonellaceae G1,18,7,Abscess
genus,unpaired,Medium,Lancefieldella,22,3,Abscess
genus,unpaired,Low,Solobacterium,19,6,Abscess
genus,unpaired,Low,Peptostreptococcaceae G4,20,5,Abscess
genus,unpaired,Low,Peptococcus,19,6,Abscess
genus,unpaired,Low,Mycoplasma,19,6,Abscess
genus,unpaired,Low,Lactobacillus,20,5,Abscess
genus,unpaired,Low,Lacticaseibacillus,17,8,Abscess
genus,unpaired,Low,Johnsonella,17,8,Abscess
genus,unpaired,Low,Fretibacterium,20,5,Abscess
genus,unpaired,Low,Bacteroidetes G3,21,4,Abscess
genus,unpaired,Low,Bacteroidales G2,17,8,Abscess
genus,unpaired,High,Leptotrichia,4,21,Plaque
genus,unpaired,High,Corynebacterium,3,22,Plaque
genus,unpaired,Medium,Rothia,4,21,Plaque
genus,unpaired,Medium,Peptidiphaga,7,18,Plaque
genus,unpaired,Medium,Neisseria,7,18,Plaque
genus,unpaired,Medium,Lautropia,4,21,Plaque
genus,unpaired,Medium,Lachnoanaerobaculum,7,18,Plaque
genus,unpaired,Medium,Kingella,5,20,Plaque
genus,unpaired,Medium,Haemophilus,6,19,Plaque
genus,unpaired,Medium,Arachnia,6,19,Plaque
genus,unpaired,Medium,Actinomyces,4,21,Plaque
genus,unpaired,Medium,Abiotrophia,3,22,Plaque
genus,unpaired,Low,Weeksellaceae G1,9,16,Plaque
genus,unpaired,Low,Veillonella,8,17,Plaque
genus,unpaired,Low,Streptococcus,6,19,Plaque
genus,unpaired,Low,Saccharibacteria TM7 G6,12,13,Plaque
genus,unpaired,Low,Riemerella,6,19,Plaque
genus,unpaired,Low,Gracilibacteria GN02 G1,12,13,Plaque
genus,unpaired,Low,Gemella,6,19,Plaque
genus,unpaired,Low,Capnocytophaga,7,18,Plaque
species,unpaired,Medium,Oribacterium sp HMT 078,19,6,Abscess
species,unpaired,Low,Veillonellaceae G1 bacterium HMT 150,20,5,Abscess
species,unpaired,Low,Treponema sp HMT 231,20,5,Abscess
species,unpaired,Low,Treponema socranskii,20,5,Abscess
species,unpaired,Low,Treponema maltophilum,21,4,Abscess
