Rank,pairing,taxon,Maaslin2_coef,Maaslin2_pval,Maaslin2_qval,Maaslin2_value,ANCOMBC2_DFF,ANCOMBC2_LFC,ANCOMBC2_p_val,ANCOMBC2_q_val,ANCOMBC2_passed_SS,Aldex2_Enrichment,Aldex2_EF,Aldex2_padj,confidence,all_positive_or_negative
phylum,unpaired,Proteobacteria,1.3363863381861503,0.014365691259737547,0.046717712747757635,Plaque,TRUE,1.2675292875629478,0.003047664477441825,0.021333651342092776,FALSE,NA,NA,NA,Medium,TRUE
phylum,unpaired,Spirochaetes,-4.152287181525566,4.313457096105693e-5,4.744802805716262e-4,Plaque,TRUE,-2.353296220869527,3.8011609455926743e-6,3.0409287564741394e-5,TRUE,Abscess,-0.7994085468160397,0.0038968855797551958,High,TRUE
phylum,unpaired,Synergistetes,-2.3183928457531326,8.886626240958999e-4,0.00488764443252745,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
phylum,unpaired,Tenericutes,-1.2230049491501307,0.016988259181002777,0.046717712747757635,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,unpaired,Abiotrophia,2.6702082068902078,5.7084722872063e-4,0.0037883497906005445,Plaque,NA,NA,NA,NA,NA,Plaque,0.6731006270776061,0.026073125904174932,Medium,TRUE
genus,unpaired,Actinomyces,2.3887843291274846,3.7976951986638574e-4,0.003080352772249573,Plaque,TRUE,1.7521044558169891,8.426682358907017e-6,4.634675297398859e-4,FALSE,NA,NA,NA,Medium,TRUE
genus,unpaired,Arachnia,1.6621761151229877,0.003380972248529634,0.015425685883916454,Plaque,NA,NA,NA,NA,NA,Plaque,0.6545241832692548,0.04398574441836431,Medium,TRUE
genus,unpaired,Bacteroidales G2,NA,NA,NA,NA,TRUE,-1.6902954819746592,8.709083171011696e-5,0.004354541585505849,FALSE,NA,NA,NA,Low,TRUE
genus,unpaired,Bacteroidetes G3,-1.4590749418537488,0.004233345777070171,0.01589416662513674,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,unpaired,Capnocytophaga,1.6619816910976102,0.004697383391099047,0.01632899940715383,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,unpaired,Corynebacterium,2.5743000475756954,3.555602164769325e-5,9.993799499142936e-4,Plaque,TRUE,1.3196665717817129,1.5818710361866823e-4,0.007276606766458739,FALSE,Plaque,0.7023298824818325,0.014019705796257123,High,TRUE
genus,unpaired,Dialister,-3.7239372208624464,1.6924298547785912e-5,9.993799499142936e-4,Plaque,TRUE,-1.8401499866612945,1.290206942529104e-4,0.006063972629886789,TRUE,Abscess,-0.8593520615443984,0.01316300007482792,High,TRUE
genus,unpaired,Fretibacterium,-2.6474740044761464,9.581875737524934e-4,0.005380591760302463,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,unpaired,Gemella,2.2717119048059202,0.004190892478115012,0.01589416662513674,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,unpaired,Gracilibacteria GN02 G1,1.1188225545646728,0.009243348599627693,0.028115185323867566,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,unpaired,Haemophilus,3.0170062176022014,4.107040890058741e-5,9.993799499142936e-4,Plaque,NA,NA,NA,NA,NA,Plaque,0.7178162879219859,0.008100293234540742,Medium,TRUE
genus,unpaired,Johnsonella,NA,NA,NA,NA,TRUE,-1.4481423241501303,1.146941801190394e-4,0.005505320645713891,FALSE,NA,NA,NA,Low,TRUE
genus,unpaired,Kingella,2.348282343067859,3.145996295727336e-4,0.0028707216198511944,Plaque,NA,NA,NA,NA,NA,Plaque,0.7355061602558561,0.010771112065675825,Medium,TRUE
genus,unpaired,Lachnoanaerobaculum,2.2178207705723896,0.0012597407320909073,0.006568648103045445,Plaque,NA,NA,NA,NA,NA,Plaque,0.6213073726664127,0.04091360109008906,Medium,TRUE
genus,unpaired,Lacticaseibacillus,NA,NA,NA,NA,TRUE,-1.9789701699979005,9.536906470851791e-5,0.004673084170717378,FALSE,NA,NA,NA,Low,TRUE
genus,unpaired,Lactobacillus,-1.3468277956997827,0.011425699194722432,0.03296947058689713,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
