confidence,taxon,group2,count
High,Veillonellaceae G1,A,18
High,Treponema,A,22
High,Dialister,A,21
High,Veillonellaceae G1,P,7
High,Treponema,P,3
High,Dialister,P,4
Medium,Solobacterium,A,19
Medium,Lancefieldella,A,22
Medium,Solobacterium,P,6
Medium,Lancefieldella,P,3
Low,Prevotella,A,20
Low,Peptostreptococcaceae G4,A,20
Low,Peptococcus,A,19
Low,Oribacterium,A,17
Low,Mycoplasma,A,19
Low,Lactobacillus,A,20
Low,Lacticaseibacillus,A,17
Low,Johnsonella,A,17
Low,Fretibacterium,A,20
Low,Bacteroidetes G3,A,21
Low,Bacteroidales G2,A,17
Low,Prevotella,P,5
Low,Peptostreptococcaceae G4,P,5
Low,Peptococcus,P,6
Low,Oribacterium,P,8
Low,Mycoplasma,P,6
Low,Lactobacillus,P,5
Low,Lacticaseibacillus,P,8
Low,Johnsonella,P,8
Low,Fretibacterium,P,5
Low,Bacteroidetes G3,P,4
Low,Bacteroidales G2,P,8
