"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","group"
"ko01230...1","Metabolism","Global and overview maps","ko01230","Biosynthesis of amino acids","20/72","241/14535",0.0829875518672199,16.753112033195,17.3991337687739,1.62102467467963e-19,1.3292402332373e-17,8.36107463782126e-18,"K00640/K01657/K01754/K01695/K00674/K00641/K01696/K01653/K00052/K01704/K00549/K00826/K00766/K14260/K01649/K01687/K00053/K01703/K01609/K01738",20,"Plaque"
"ko01240...2","Metabolism","Global and overview maps","ko01240","Biosynthesis of cofactors","12/72","380/14535",0.0315789473684211,6.375,7.49108910743309,3.20310327294253e-07,6.56636170953219e-06,4.130317378268e-06,"K00287/K19267/K01845/K01772/K02492/K00254/K00826/K03801/K00963/K01749/K01698/K03635",12,"Plaque"
"ko01210...3","Metabolism","Global and overview maps","ko01210","2-Oxocarboxylic acid metabolism","11/72","117/14535",0.094017094017094,18.9797008547009,13.7769320058383,1.14023726966803e-11,3.11664853709261e-10,1.96040793732398e-10,"K00627/K01653/K00052/K01704/K00826/K00163/K14260/K01649/K01687/K00053/K01703",11,"Plaque"
"ko00290","Metabolism","Amino acid metabolism","ko00290","Valine, leucine and isoleucine biosynthesis","10/72","19/14535",0.526315789473684,106.25,32.3895607413114,4.13679350937293e-19,1.6960853388429e-17,1.06685727346986e-17,"K01754/K01653/K00052/K01704/K00826/K14260/K01649/K01687/K00053/K01703",10,"Plaque"
"ko01200...5","Metabolism","Global and overview maps","ko01200","Carbon metabolism","9/72","382/14535",0.0235602094240838,4.75621727748691,5.24913529999264,0.000107369014507445,0.000978251021067835,0.000615331194253195,"K00297/K00627/K00640/K01754/K00036/K00163/K13788/K01738/K01595",9,"Plaque"
"ko00620...6","Metabolism","Carbohydrate metabolism","ko00620","Pyruvate metabolism","6/72","138/14535",0.0434782608695652,8.77717391304348,6.47671794977118,6.13606892854152e-05,0.000718796645914864,0.000452131394734639,"K00627/K00163/K13788/K01649/K00101/K01595",6,"Plaque"
"ko00400...7","Metabolism","Amino acid metabolism","ko00400","Phenylalanine, tyrosine and tryptophan biosynthesis","5/72","74/14535",0.0675675675675676,13.6402027027027,7.69131092630845,3.20017037802058e-05,0.000437356618329479,0.000275102365829839,"K01657/K01695/K01696/K00766/K01609",5,"Plaque"
"ko00270...8","Metabolism","Amino acid metabolism","ko00270","Cysteine and methionine metabolism","5/72","128/14535",0.0390625,7.8857421875,5.52075656822416,0.000427411804284171,0.0035047767951302,0.00220454509578152,"K00640/K00641/K00549/K00826/K01738",5,"Plaque"
"ko00860","Metabolism","Metabolism of cofactors and vitamins","ko00860","Porphyrin metabolism","5/72","142/14535",0.0352112676056338,7.10827464788732,5.16079607578751,0.000686167019056512,0.00468880796355283,0.00294931438015518,"K01845/K01772/K02492/K01749/K01698",5,"Plaque"
"ko00660","Metabolism","Carbohydrate metabolism","ko00660","C5-Branched dibasic acid metabolism","4/72","29/14535",0.137931034482759,27.8448275862069,10.2097572060444,1.19691978740714e-05,0.000196294845134771,0.000123471725437789,"K01653/K00052/K01704/K01703",4,"Plaque"
"ko00770","Metabolism","Metabolism of cofactors and vitamins","ko00770","Pantothenate and CoA biosynthesis","4/72","45/14535",0.0888888888888889,17.9444444444444,8.03209860584781,7.07259055721866e-05,0.000724940532114913,0.000455995970136466,"K01653/K00826/K01687/K00053",4,"Plaque"
"ko00230","Metabolism","Nucleotide metabolism","ko00230","Purine metabolism","4/72","224/14535",0.0178571428571429,3.60491071428571,2.77211659935695,0.0250135883795071,0.0759671943377622,0.0477842429082201,"K01589/K00526/K01139/K00942",4,"Plaque"
"ko00785...13","Metabolism","Metabolism of cofactors and vitamins","ko00785","Lipoic acid metabolism","3/72","31/14535",0.0967741935483871,19.5362903225806,7.28936013525013,0.000474231812155623,0.00353518259970555,0.00222367069814598,"K00627/K03801/K00163",3,"Plaque"
"ko03060","Genetic Information Processing","Folding, sorting and degradation","ko03060","Protein export","3/72","49/14535",0.0612244897959184,12.359693877551,5.61978965780515,0.00182367933475628,0.0115032081115396,0.00723565080186704,"K03118/K03116/K03117",3,"Plaque"
"ko00670...15","Metabolism","Metabolism of cofactors and vitamins","ko00670","One carbon pool by folate","3/72","65/14535",0.0461538461538462,9.31730769230769,4.74170808597319,0.00408611123886236,0.0239329372561938,0.015054094037914,"K00297/K00560/K00287",3,"Plaque"
"ko00910...16","Metabolism","Energy metabolism","ko00910","Nitrogen metabolism","3/72","70/14535",0.0428571428571429,8.65178571428572,4.52774785302835,0.00503130498784978,0.0257854380627301,0.0162193384476736,"K01673/K04561/K00368",3,"Plaque"
"ko03070","Environmental Information Processing","Membrane transport","ko03070","Bacterial secretion system","3/72","74/14535",0.0405405405405405,8.18412162162162,4.37139454357742,0.00587483799092403,0.0283374538385748,0.017824585854816,"K03118/K03116/K03117",3,"Plaque"
"ko00790","Metabolism","Metabolism of cofactors and vitamins","ko00790","Folate biosynthesis","3/72","84/14535",0.0357142857142857,7.20982142857143,4.02716512460478,0.00833705130555136,0.0341819103527606,0.021500816524843,"K00287/K03635/K03752",3,"Plaque"
"ko00260...19","Metabolism","Amino acid metabolism","ko00260","Glycine, serine and threonine metabolism","3/72","110/14535",0.0272727272727273,5.50568181818182,3.34679093662653,0.0172399996011299,0.0614643464040284,0.0386617840025339,"K01754/K01695/K01696",3,"Plaque"
"ko00240...20","Metabolism","Nucleotide metabolism","ko00240","Pyrimidine metabolism","3/72","114/14535",0.0263157894736842,5.3125,3.26147067787414,0.0189422200714806,0.064719251910892,0.0407091571711644,"K00560/K00526/K00254",3,"Plaque"
"ko01232...21","Metabolism","Global and overview maps","ko01232","Nucleotide metabolism","3/72","123/14535",0.024390243902439,4.92378048780488,3.0833637711248,0.0231022026709985,0.0757752247608751,0.0476634918264811,"K00560/K00526/K00942",3,"Plaque"
"ko00720...22","Metabolism","Energy metabolism","ko00720","Other carbon fixation pathways","3/72","126/14535",0.0238095238095238,4.80654761904762,3.0278144132365,0.0245905990253546,0.0759671943377622,0.0477842429082201,"K00297/K13788/K01595",3,"Plaque"
"ko00920...23","Metabolism","Energy metabolism","ko00920","Sulfur metabolism","3/72","131/14535",0.0229007633587786,4.62309160305344,2.93902336716986,0.0271842606124704,0.0796110489365205,0.0500762695492876,"K00640/K00641/K01738",3,"Plaque"
"ko00966","Metabolism","Biosynthesis of other secondary metabolites","ko00966","Glucosinolate biosynthesis","2/72","21/14535",0.0952380952380952,19.2261904761905,5.89714254576487,0.00478140184230863,0.0257854380627301,0.0162193384476736,"K00826/K01703",2,"Plaque"
"ko04981",NA,NA,"ko04981","Folate transport and metabolism","2/72","24/14535",0.0833333333333333,16.8229166666667,5.47360084224814,0.006224212202925,0.0283547444799917,0.0178354618680307,"K00560/K00287",2,"Plaque"
"ko01523","Human Diseases","Drug resistance: antineoplastic","ko01523","Antifolate resistance","2/72","26/14535",0.0769230769230769,15.5288461538462,5.23152965800558,0.0072826160815164,0.0314302378254918,0.0197699827143659,"K00560/K00287",2,"Plaque"
"ko04122","Genetic Information Processing","Folding, sorting and degradation","ko04122","Sulfur relay system","2/72","29/14535",0.0689655172413793,13.9224137931034,4.91471613739904,0.00901108275005921,0.0351861326430883,0.0221324839475139,"K03635/K03636",2,"Plaque"
"ko01310...28",NA,NA,"ko01310","Nitrogen cycle","2/72","39/14535",0.0512820512820513,10.3525641025641,4.12637354000369,0.0159315592474244,0.0593812662858547,0.0373515025418085,"K04561/K00368",2,"Plaque"
"ko00480","Metabolism","Metabolism of other amino acids","ko00480","Glutathione metabolism","2/72","57/14535",0.0350877192982456,7.08333333333333,3.24679141386723,0.0324146949346139,0.0916553442978737,0.0576522704826163,"K01256/K00036",2,"Plaque"
"ko00900...30","Metabolism","Metabolism of terpenoids and polyketides","ko00900","Terpenoid backbone biosynthesis","2/72","64/14535",0.03125,6.30859375,3.00296202142132,0.0400522648164543,0.109476190498308,0.0688617886317986,"K01823/K01597",2,"Plaque"
"ko00020...31","Metabolism","Carbohydrate metabolism","ko00020","Citrate cycle (TCA cycle)","2/72","70/14535",0.0285714285714286,5.76785714285714,2.82125712195699,0.0470835268777585,0.120651537624256,0.0758912110858608,"K00627/K00163",2,"Plaque"
"ko00250...32","Metabolism","Amino acid metabolism","ko00250","Alanine, aspartate and glutamate metabolism","2/72","70/14535",0.0285714285714286,5.76785714285714,2.82125712195699,0.0470835268777585,0.120651537624256,0.0758912110858608,"K14260/K13821",2,"Plaque"
"ko02060","Environmental Information Processing","Membrane transport","ko02060","Phosphotransferase system (PTS)","2/72","72/14535",0.0277777777777778,5.60763888888889,2.76531827189719,0.0495209139594762,0.122412807830332,0.0769990703939184,"K02770/K02796",2,"Plaque"
