"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","group"
"ko02024...1","Cellular Processes","Cellular community - prokaryotes","ko02024","Quorum sensing","24/409","283/14535",0.0848056537102474,3.01381461290573,5.82129260953131,1.58235535444485e-06,4.87892900953828e-05,4.10857179750592e-05,"K12295/K14982/K14983/K20262/K20261/K20391/K12990/K20375/K20342/K03071/K12293/K01497/K12292/K20480/K20379/K01626/K01635/K20488/K20487/K12294/K07645/K07707/K12296/K20345",24,"Plaque"
"ko01240...2","Metabolism","Global and overview maps","ko01240","Biosynthesis of cofactors","24/409","380/14535",0.0631578947368421,2.24449877750611,4.18288540518985,0.000197747676134338,0.0031821377086312,0.00267969491253154,"K00254/K00355/K21977/K22316/K19965/K02496/K08310/K01195/K03182/K08973/K01497/K01920/K01919/K02302/K00230/K03181/K00228/K01599/K03186/K00226/K13940/K02170/K00568/K03342",24,"Plaque"
"ko01200...3","Metabolism","Global and overview maps","ko01200","Carbon metabolism","19/409","382/14535",0.049738219895288,1.76759175104648,2.58691618522084,0.0119987213625968,0.0887905380832166,0.0747709794384982,"K01616/K11263/K00131/K01595/K00163/K00886/K01057/K03841/K00242/K09788/K18558/K14080/K00121/K20455/K00161/K01070/K00162/K00247/K01690",19,"Plaque"
"ko00190...4","Metabolism","Energy metabolism","ko00190","Oxidative phosphorylation","17/409","224/14535",0.0758928571428571,2.69707256374432,4.35546032145713,0.000206408932451753,0.0031821377086312,0.00267969491253154,"K00406/K03889/K03890/K03891/K00332/K00413/K00412/K00405/K00407/K02119/K00404/K00411/K00242/K02122/K22468/K00335/K00247",17,"Plaque"
"ko00500...5","Metabolism","Carbohydrate metabolism","ko00500","Starch and sucrose metabolism","15/409","107/14535",0.14018691588785,4.98194822110002,7.03443241515073,3.02015518632748e-07,1.39682177367646e-05,1.17627096730649e-05,"K06896/K16146/K20108/K02438/K01208/K16148/K13057/K18775/K00689/K15778/K05341/K01236/K01212/K01200/K00690",15,"Plaque"
"ko00520...6","Metabolism","Carbohydrate metabolism","ko00520","Amino sugar and nucleotide sugar metabolism","15/409","118/14535",0.127118644067797,4.51752931913307,6.5280866661797,1.09289760070505e-06,4.04372112260869e-05,3.40523884009153e-05,"K00992/K22292/K02793/K02796/K02795/K07102/K02794/K02473/K00886/K00066/K15778/K02744/K09001/K00965/K02746",15,"Plaque"
"ko01250...7","Metabolism","Global and overview maps","ko01250","Biosynthesis of nucleotide sugars","15/409","221/14535",0.0678733031674208,2.41207447808915,3.59929849666656,0.00150704664372856,0.0164002134758696,0.0138107060849428,"K13020/K00992/K22292/K07102/K00523/K02473/K00886/K19180/K00066/K15778/K03274/K09001/K21344/K00965/K17947",15,"Plaque"
"ko00230...8","Metabolism","Nucleotide metabolism","ko00230","Purine metabolism","14/409","224/14535",0.0625,2.22111858190709,3.13394585765728,0.00450435412593978,0.0396812149189933,0.0334157599317838,"K21053/K01525/K00956/K00957/K15778/K19710/K11788/K01430/K01428/K01429/K01120/K08693/K15780/K01589",14,"Plaque"
"ko02060...9","Environmental Information Processing","Membrane transport","ko02060","Phosphotransferase system (PTS)","13/409","72/14535",0.180555555555556,6.41656479217604,7.83981164286487,9.00915935399918e-08,5.5556482682995e-06,4.67844064698905e-06,"K02788/K20108/K20113/K20114/K20112/K02793/K02796/K02795/K02794/K02771/K02744/K02786/K02746",13,"Plaque"
"ko00620...10","Metabolism","Carbohydrate metabolism","ko00620","Pyruvate metabolism","13/409","138/14535",0.0942028985507246,3.34777293504837,4.71524500464184,0.000139988873943966,0.00258979416796337,0.00218087929933758,"K13953/K11263/K01595/K04072/K00163/K20370/K00101/K07248/K03777/K00121/K00161/K00162/K00247",13,"Plaque"
"ko01230...11","Metabolism","Global and overview maps","ko01230","Biosynthesis of amino acids","13/409","241/14535",0.053941908713693,1.91698201260031,2.44251410338457,0.0191216541099353,0.114113097107678,0.096095239669624,"K05602/K04093/K14187/K01523/K01758/K14267/K04092/K01626/K00147/K00931/K00813/K14170/K01696",13,"Plaque"
"ko00052...12","Metabolism","Carbohydrate metabolism","ko00052","Galactose metabolism","11/409","81/14535",0.135802469135802,4.82613420266232,5.87561477398453,1.58114159504088e-05,0.000417873135832232,0.000351893167016616,"K02788/K01819/K01220/K12308/K02082/K15778/K01635/K02744/K00965/K02786/K02746",11,"Plaque"
"ko00010...13","Metabolism","Carbohydrate metabolism","ko00010","Glycolysis / Gluconeogenesis","11/409","108/14535",0.101851851851852,3.61960065199674,4.64947142208399,0.000228301624778413,0.00324890773723127,0.00273592230503686,"K13953/K00131/K04072/K00163/K00886/K03841/K15778/K00121/K00161/K00162/K01792",11,"Plaque"
