Description,ID,Feature,group,KO Description
Biosynthesis of amino acids,ko01230,K00640,Plaque,cysE; serine O-acetyltransferase [EC:2.3.1.30]
Biosynthesis of amino acids,ko01230,K01657,Plaque,trpE; anthranilate synthase component I [EC:4.1.3.27]
Biosynthesis of amino acids,ko01230,K01754,Plaque,"E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]"
Biosynthesis of amino acids,ko01230,K01695,Plaque,trpA; tryptophan synthase alpha chain [EC:4.2.1.20]
Biosynthesis of amino acids,ko01230,K00674,Plaque,"dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]"
Biosynthesis of amino acids,ko01230,K00641,Plaque,metX; homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]
Biosynthesis of amino acids,ko01230,K01696,Plaque,trpB; tryptophan synthase beta chain [EC:4.2.1.20]
Biosynthesis of amino acids,ko01230,K01653,Plaque,"E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit [EC:2.2.1.6]"
Biosynthesis of amino acids,ko01230,K00052,Plaque,"leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]"
Biosynthesis of amino acids,ko01230,K01704,Plaque,"leuD, IPMI-S; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]"
Biosynthesis of amino acids,ko01230,K00549,Plaque,metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
Biosynthesis of amino acids,ko01230,K00826,Plaque,"E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]"
Biosynthesis of amino acids,ko01230,K00766,Plaque,trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]
Biosynthesis of amino acids,ko01230,K14260,Plaque,alaA; alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2]
Biosynthesis of amino acids,ko01230,K01649,Plaque,"leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]"
Biosynthesis of amino acids,ko01230,K01687,Plaque,ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]
Biosynthesis of amino acids,ko01230,K00053,Plaque,ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]
Biosynthesis of amino acids,ko01230,K01703,Plaque,"leuC, IPMI-L; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]"
Biosynthesis of amino acids,ko01230,K01609,Plaque,trpC; indole-3-glycerol phosphate synthase [EC:4.1.1.48]
Biosynthesis of amino acids,ko01230,K01738,Plaque,cysK; cysteine synthase [EC:2.5.1.47]
Biosynthesis of cofactors,ko01240,K00287,Plaque,"DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]"
Biosynthesis of cofactors,ko01240,K19267,Plaque,qorB; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
Biosynthesis of cofactors,ko01240,K01845,Plaque,"hemL; glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]"
Biosynthesis of cofactors,ko01240,K01772,Plaque,"hemH, FECH; protoporphyrin/coproporphyrin ferrochelatase [EC:4.98.1.1 4.99.1.9]"
Biosynthesis of cofactors,ko01240,K02492,Plaque,hemA; glutamyl-tRNA reductase [EC:1.2.1.70]
Biosynthesis of cofactors,ko01240,K00254,Plaque,"DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]"
