Rank,Taxon,n_pairs,n_plaque,n_abscess,median_plaque,median_abscess,mean_plaque,mean_abscess,p_value,difference_in_median,difference_in_mean,Enrichment,BH_adjusted_p_value
genus,Abiotrophia,25,25,25,0.006813134659240883,6.385236554371787e-9,0.014402316820773522,0.003301731074748753,9.559759062461871e-5,0.006813128274004328,0.01110058574602477,Plaque,0.006255177067059457
genus,Absconditabacteria (SR1) G-1,25,25,25,5.105287482875746e-9,4.755959008311282e-10,0.0015531439390379892,7.602663320739276e-4,0.09004973040401204,4.629691582044617e-9,7.928776069640616e-4,Plaque,0.12757045140568374
genus,Acidipropionibacterium,25,25,25,1.7612453764760188e-10,2.972474380194551e-10,4.3729608322733485e-10,7.913571196541616e-4,0.001130987310209616,-1.2112290037185321e-10,-7.913566823580784e-4,Abscess,0.010986733870607697
genus,Actinomyces,25,25,25,0.01601949111611592,0.003514192695231718,0.019536120902445244,0.0064758160326065855,0.00018397579608998401,0.0125052984208842,0.013060304869838658,Plaque,0.006255177067059457
genus,Aeriscardovia,25,25,25,3.522490752952038e-11,4.8966793692457115e-11,8.745921664546697e-11,7.734687724292416e-5,0.05963483009045978,-1.3741886162936737e-11,-7.734678978370752e-5,Abscess,0.09112738081238797
genus,Afipia,25,25,25,3.1411963284422735e-10,3.1947175825256867e-10,5.573245577033661e-4,0.002018550486411427,0.4352140532775755,-5.35212540834132e-12,-0.0014612259287080606,Abscess,0.46975485115674814
genus,Aggregatibacter,25,25,25,0.004770396369815854,6.933992785946766e-4,0.007312520317886653,0.005068547266320405,0.03828109212703915,0.004076997091221177,0.0022439730515662485,Plaque,0.08120755045454219
genus,Alloiococcus,25,25,25,3.522490752952038e-11,4.8966793692457115e-11,8.745921664546697e-11,0.002795136132112085,0.05963483009045978,-1.3741886162936737e-11,-0.0027951360446528684,Abscess,0.09112738081238797
genus,Alloprevotella,25,25,25,0.007695935768831318,0.0073257215507273425,0.011270438532413914,0.016740207863012665,0.9570834959029937,3.7021421810397564e-4,-0.005469769330598751,Plaque,0.9570834959029937
genus,Anaerococcus,25,25,25,7.044981505904076e-11,9.793358738491423e-11,1.7491843329093394e-10,1.1877640076763901e-4,0.05963483009045978,-2.7483772325873474e-11,-1.1877622584920571e-4,Abscess,0.09112738081238797
genus,Anaeroglobus,25,25,25,1.8545304227427851e-10,2.861066140191477e-10,6.617710801343504e-5,2.469342682039519e-4,0.10073067103920602,-1.006535717448692e-10,-1.8075716019051686e-4,Abscess,0.1412306315601239
genus,Anaerolineae G-1,25,25,25,3.522490752952038e-11,5.3025072869699766e-11,8.745921664546697e-11,3.8218549152061754e-5,0.03135383035982697,-1.7800165340179388e-11,-3.821846169284511e-5,Abscess,0.07351932636097358
genus,Arachnia,25,25,25,8.771932457678889e-4,7.617483789024159e-10,0.0019393969483014833,9.249591387473204e-4,0.013307365386794041,8.7719248401951e-4,0.0010144378095541628,Plaque,0.040217815391199764
genus,Bacteroidales G-2,25,25,25,1.0800591959896494e-9,4.027180606777442e-9,0.0013818334088432202,0.021687505969457597,0.03135383035982697,-2.947121410787793e-9,-0.020305672560614378,Abscess,0.07351932636097358
genus,Bacteroides,25,25,25,7.044981505904076e-11,1.0605014573939953e-10,1.7491843329093394e-10,7.768479986634549e-5,0.04086222382142676,-3.5600330680358776e-11,-7.76846249479122e-5,Abscess,0.08120755045454219
