Rank,taxon,Maaslin2_coef,Maaslin2_pval,Maaslin2_qval,Maaslin2_value,ANCOMBC2_DFF,ANCOMBC2_LFC,ANCOMBC2_p_val,ANCOMBC2_q_val,ANCOMBC2_passed_SS,Aldex2_Enrichment,Aldex2_EF,Aldex2_padj,confidence,all_positive_or_negative
phylum,Absconditabacteria SR1,1.101631734163077,0.02103728060664041,0.04521541568985325,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
phylum,Gracilibacteria GN02,0.9289309594339038,0.02466295401264723,0.04521541568985325,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
phylum,Proteobacteria,1.336386338186163,0.004960786442502468,0.018189550289175713,Plaque,TRUE,1.2675292875629478,0.003047664477441825,0.021333651342092776,FALSE,NA,NA,NA,Medium,TRUE
phylum,Spirochaetes,-4.1522871815255655,5.501623806989616e-6,6.0517861876885775e-5,Plaque,TRUE,-2.353296220869527,3.8011609455926743e-6,3.0409287564741394e-5,TRUE,Abscess,-1.1613614858386831,0.0038968855797551958,High,TRUE
phylum,Synergistetes,-2.3183928457531353,8.886626241025003e-4,0.004887644432563751,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
phylum,Tenericutes,-1.2230049491501325,0.016989902741871767,0.04521541568985325,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,Abiotrophia,2.670208206890201,2.8832189717061188e-5,5.261874623363667e-4,Plaque,NA,NA,NA,NA,NA,Plaque,0.8543374356159396,0.020796891399069456,Medium,TRUE
genus,Absconditabacteria SR1 G1,1.0943156030996286,0.017380858969585564,0.03461610563409563,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,Acidipropionibacterium,-0.8213200935687393,0.0238654009397457,0.044671135092344515,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,Actinomyces,2.3887843291274837,3.7774417537374955e-4,0.002297943733523643,Plaque,TRUE,1.7521044558169891,8.426682358907017e-6,4.634675297398859e-4,FALSE,Plaque,0.8111925846444947,0.0496681606226935,High,TRUE
genus,Aggregatibacter,1.198544001695186,0.021040473690198434,0.04041985735222331,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,Arachnia,1.6621761151229921,0.00302921543809452,0.011638564577942103,Plaque,NA,NA,NA,NA,NA,Plaque,0.7964234496142345,0.04559282254781101,Medium,TRUE
genus,Bacteroidales G2,NA,NA,NA,NA,TRUE,-1.6902954819746592,8.709083171011696e-5,0.004354541585505849,FALSE,NA,NA,NA,Low,TRUE
genus,Bacteroidetes G3,-1.4590749418537448,0.004233346075384642,0.014715917309670421,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,Bacteroidetes G5,-1.75714030540956,0.025036507070243786,0.04569162540319491,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,Capnocytophaga,1.6619816910976066,0.0019286982872750455,0.007821943053948795,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,Cardiobacterium,2.0912313666330746,0.01657432289545763,0.03456930203909735,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,Corynebacterium,2.5743000475757007,1.1377131763093562e-4,0.0010381632733822877,Plaque,TRUE,1.3196665717817129,1.5818710361866823e-4,0.007276606766458739,FALSE,Plaque,0.7366423189182735,0.014732448660830988,High,TRUE
genus,Dialister,-3.7239372208624477,1.6924298547576654e-5,4.118245979910319e-4,Plaque,TRUE,-1.8401499866612945,1.290206942529104e-4,0.006063972629886789,TRUE,Abscess,-1.2571983850333688,0.014510821012671413,High,TRUE
genus,Fretibacterium,-2.6474740044761513,9.581875737540984e-4,0.004663179525603279,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,Gemella,2.2717119048059207,5.544504540904267e-4,0.002891063082042939,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,Gracilibacteria GN02 G1,1.118822554564676,0.00924334859971409,0.024991275843671428,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,Granulicatella,1.8080154881738155,0.014077783642323163,0.034255940196319695,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
genus,Haemophilus,3.0170062176022063,4.4625963833303656e-5,6.515390719662333e-4,Plaque,NA,NA,NA,NA,NA,Plaque,0.6980688517792162,0.009162521271903921,Medium,TRUE
