OTU_ID	100-A	100-P	71-A	71-P	72-A	72-P	73-A	73-P	74-A	74-P	75-A	75-P	76-A	76-P	77-A	77-P	78-A	78-P	79-A	79-P	80-A	80-P	81-A	81-P	82-A	82-P	83-A	83-P	84-A	84-P	85-A	85-P	88-A	88-P	89-A	89-P	90-A	90-P	91-A	91-P	93-A	93-P	94-A	94-P	95-A	95-P	96-A	96-P	97-A	97-P	taxonomy
0	386	3234	136	1535	196	554	323	805	672	2385	0	1668	0	123	0	260	117	1014	68	1864	0	61	943	0	1893	2479	931	0	70	2496	848	2693	1805	3100	49	2182	25	662	306	415	7448	4060	0	4507	98	143	105	1010	117	6362	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Bacilli; D_3__o__Lactobacillales; D_4__f__Streptococcaceae; D_5__g__Streptococcus; D_6__g__Streptococcus_s__oralis_subsp._dentisani_clade_058
1	326	2584	112	1362	154	416	237	623	509	1959	0	1390	30	95	0	219	85	891	41	1426	0	49	710	20	1699	2012	603	0	94	2206	1316	2069	1921	2851	34	1917	9	566	258	412	6249	3266	0	3935	84	137	87	890	118	4942	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Bacilli; D_3__o__Lactobacillales; D_4__f__Streptococcaceae; D_5__g__Streptococcus; D_6__g__Streptococcus_s__oralis_subsp._dentisani_clade_058
2	0	1643	0	250	52	102	144	1701	0	1718	0	687	39	165	0	0	0	80	72	1699	0	39	0	0	0	108	0	0	37	3531	0	808	52	1035	0	716	42	238	0	48	97	228	0	304	1252	153	88	610	0	416	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Bacilli; D_3__o__Lactobacillales; D_4__f__Streptococcaceae; D_5__g__Streptococcus; D_6__g__Streptococcus_s__sanguinis
3	0	1315	0	166	60	112	114	1367	0	1917	0	542	0	123	0	0	0	64	0	1392	0	0	0	0	0	64	0	0	55	3108	0	650	110	927	0	554	48	232	0	48	71	232	0	313	1180	99	81	562	0	304	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Bacilli; D_3__o__Lactobacillales; D_4__f__Streptococcaceae; D_5__g__Streptococcus; D_6__g__Streptococcus_s__sanguinis
4	0	0	0	73	45	0	0	567	0	0	458	287	0	247	0	0	0	62	0	109	0	0	0	0	0	100	0	0	23	1712	0	257	0	170	0	81	138	209	0	89	113	131	0	0	4121	8887	77	302	0	386	D_0__k__Bacteria; D_1__p__Proteobacteria; D_2__c__Betaproteobacteria; D_3__o__Burkholderiales; D_4__f__Burkholderiaceae; D_5__g__Lautropia; D_6__g__Lautropia_s__mirabilis
5	0	0	0	1364	122	67	864	2057	0	0	0	126	0	57	0	144	30	263	33	136	0	0	86	0	0	1173	0	0	39	2522	0	0	0	488	0	766	625	1005	0	0	488	1033	0	0	446	231	0	434	0	2500	D_0__k__Bacteria; D_1__p__Proteobacteria; D_2__c__Betaproteobacteria; D_3__o__Neisseriales; D_4__f__Neisseriaceae; D_5__g__Neisseria; D_6__g__Neisseria_s__flava
6	0	0	0	0	46	0	43	451	0	0	443	239	0	200	0	0	0	0	0	77	0	18	0	0	0	84	0	0	0	1490	0	183	0	156	0	0	104	138	0	67	91	172	0	0	3538	7217	0	276	0	252	D_0__k__Bacteria; D_1__p__Proteobacteria; D_2__c__Betaproteobacteria; D_3__o__Burkholderiales; D_4__f__Burkholderiaceae; D_5__g__Lautropia; D_6__g__Lautropia_s__mirabilis
7	0	0	0	1271	100	0	714	1651	0	0	0	97	0	57	0	126	0	250	24	87	0	0	84	0	0	859	0	0	0	2252	0	0	0	523	0	627	533	818	0	0	376	945	0	0	449	208	0	355	0	1885	D_0__k__Bacteria; D_1__p__Proteobacteria; D_2__c__Betaproteobacteria; D_3__o__Neisseriales; D_4__f__Neisseriaceae; D_5__g__Neisseria; D_6__g__Neisseria_s__flava
8	0	388	0	165	30	23	111	612	0	0	157	179	0	140	0	60	0	98	86	1922	0	0	0	0	0	195	0	0	64	1719	0	150	169	320	0	118	44	500	44	36	838	1327	0	422	924	1484	25	237	0	1029	D_0__k__Bacteria; D_1__p__Proteobacteria; D_2__c__Gammaproteobacteria; D_3__o__Pasteurellales; D_4__f__Pasteurellaceae; D_5__g__Haemophilus; D_6__g__Haemophilus_s__parainfluenzae
9	199	0	0	28	52	150	0	0	0	0	917	23	0	0	0	0	0	0	0	0	0	0	72	0	0	53	0	5158	3669	0	0	61	0	0	49	36	30	0	0	0	0	215	0	301	0	0	0	0	67	0	D_0__k__Bacteria; D_1__p__Firmicutes; D_2__c__Bacilli; D_3__o__Lactobacillales; D_4__f__Streptococcaceae; D_5__g__Streptococcus; D_6__g__Streptococcus_s__anginosus
