taxon,Maaslin2_coef,Maaslin2_pval,Maaslin2_qval,Maaslin2_value,ANCOMBC2_DFF,ANCOMBC2_LFC,ANCOMBC2_p_val,ANCOMBC2_q_val,ANCOMBC2_passed_SS,Aldex2_Enrichment,Aldex2_EF,Aldex2_padj,confidence,all_positive_or_negative
Abiotrophia,2.670208206890201,2.8832189717061188e-5,5.261874623363667e-4,Plaque,NA,NA,NA,NA,NA,Plaque,0.6731006270776061,0.005260020829885875,Medium,TRUE
Absconditabacteria SR1 G1,1.0943156030996286,0.017380858969585564,0.03461610563409563,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
Acidipropionibacterium,-0.8213200935687393,0.0238654009397457,0.044671135092344515,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
Actinomyces,2.3887843291274837,3.7774417537374955e-4,0.002297943733523643,Plaque,NA,NA,NA,NA,NA,Plaque,0.5351810483981781,0.004308268574297619,Medium,TRUE
Aggregatibacter,1.198544001695186,0.021040473690198434,0.04041985735222331,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
Arachnia,1.6621761151229921,0.00302921543809452,0.011638564577942103,Plaque,NA,NA,NA,NA,NA,Plaque,0.6545241832692548,0.022415743238176647,Medium,TRUE
Bacteroidetes G3,-1.4590749418537448,0.004233346075384642,0.014715917309670421,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
Bacteroidetes G5,-1.75714030540956,0.025036507070243786,0.04569162540319491,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
Capnocytophaga,1.6619816910976066,0.0019286982872750455,0.007821943053948795,Plaque,NA,NA,NA,NA,NA,Plaque,0.5270888078358376,0.0076258971249314736,Medium,TRUE
Cardiobacterium,2.0912313666330746,0.01657432289545763,0.03456930203909735,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
Corynebacterium,2.5743000475757007,1.1377131763093562e-4,0.0010381632733822877,Plaque,NA,NA,NA,NA,NA,Plaque,0.7023298824818325,0.0017114698274054898,Medium,TRUE
Dialister,-3.7239372208624477,1.6924298547576654e-5,4.118245979910319e-4,Plaque,NA,NA,NA,NA,NA,Abscess,-0.8593520615443984,0.01281364282790153,Medium,TRUE
Fretibacterium,-2.6474740044761513,9.581875737540984e-4,0.004663179525603279,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
Gemella,2.2717119048059207,5.544504540904267e-4,0.002891063082042939,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
Gracilibacteria GN02 G1,1.118822554564676,0.00924334859971409,0.024991275843671428,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
Granulicatella,1.8080154881738155,0.014077783642323163,0.034255940196319695,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
Haemophilus,3.0170062176022063,4.4625963833303656e-5,6.515390719662333e-4,Plaque,NA,NA,NA,NA,NA,Plaque,0.7178162879219859,0.0032097828395462793,Medium,TRUE
Kingella,2.3482823430678645,4.5851313240179094e-4,0.002574727589640826,Plaque,NA,NA,NA,NA,NA,Plaque,0.7355061602558561,0.0034795099964942187,Medium,TRUE
Lachnoanaerobaculum,2.217820770572391,0.001342133836911663,0.006123485630909462,Plaque,NA,NA,NA,NA,NA,Plaque,0.6213073726664127,0.01853696286917703,Medium,TRUE
Lacticaseibacillus,NA,NA,NA,NA,TRUE,-1.8296978772636,1.4521372073183502e-4,0.008131968360982761,FALSE,NA,NA,NA,Low,TRUE
Lactobacillus,-1.3468277956997847,0.011425699194741071,0.02978843004343208,Plaque,NA,NA,NA,NA,NA,NA,NA,NA,Low,TRUE
