confidence,taxon,A,P,Type
Low,Veillonellaceae G1 bacterium HMT 150,20,5,Abscess
Low,Treponema sp HMT 237,20,5,Abscess
Low,Treponema sp HMT 231,20,5,Abscess
Low,Treponema socranskii,20,5,Abscess
Low,Treponema maltophilum,21,4,Abscess
Low,Treponema lecithinolyticum,20,5,Abscess
Low,Treponema denticola,19,6,Abscess
Low,Tannerella forsythia,20,5,Abscess
Low,Streptococcus constellatus,18,7,Abscess
Low,Solobacterium moorei,19,6,Abscess
Low,Selenomonas sp HMT 134,20,5,Abscess
Low,Prevotella sp HMT 315,19,6,Abscess
Low,Prevotella sp HMT 292,20,5,Abscess
Low,Prevotella pleuritidis,20,5,Abscess
Low,Prevotella oris,22,3,Abscess
Low,Prevotella nigrescens,19,6,Abscess
Low,Porphyromonas endodontalis,21,4,Abscess
Low,Peptostreptococcaceae G4 bacterium HMT 369,20,5,Abscess
Low,Peptostreptococcaceae G1 Eubacterium infirmum,20,5,Abscess
Low,Peptococcus sp HMT 167,21,4,Abscess
Low,Oribacterium sp HMT 078,19,6,Abscess
Low,Mycoplasma salivarium,19,6,Abscess
Low,Lacticaseibacillus casei,17,8,Abscess
Low,Fusobacterium nucleatum,19,6,Abscess
Low,Fretibacterium fastidiosum,20,5,Abscess
Low,Dialister pneumosintes,19,6,Abscess
Low,Dialister invisus,20,5,Abscess
Low,Alloprevotella tannerae,24,1,Abscess
Low,Alloprevotella rava,21,4,Abscess
Medium,Streptococcus sanguinis,2,23,Plaque
Medium,Porphyromonas pasteri,7,18,Plaque
Medium,Neisseria flava,6,19,Plaque
Medium,Lautropia mirabilis,4,21,Plaque
Medium,Kingella oralis,4,21,Plaque
Medium,Haemophilus parainfluenzae,4,21,Plaque
Medium,Fusobacterium periodonticum,6,19,Plaque
Medium,Corynebacterium matruchotii,4,21,Plaque
Medium,Capnocytophaga sputigena,6,19,Plaque
Medium,Abiotrophia defectiva,3,22,Plaque
Low,Weeksellaceae G1 sp HMT 907,12,13,Plaque
Low,Veillonella sp HMT 780,10,15,Plaque
Low,Streptococcus oralis subsp dentisani clade 058,4,21,Plaque
Low,Streptococcus lactarius,10,15,Plaque
Low,Streptococcus cristatus clade 578,6,19,Plaque
Low,Selenomonas sp HMT 137,11,14,Plaque
Low,Schaalia sp HMT 178,12,13,Plaque
Low,Saccharibacteria TM7 G6 bacterium HMT 870,12,13,Plaque
Low,Saccharibacteria TM7 G1 bacterium HMT 348,11,14,Plaque
Low,Ruminococcaceae G1 bacterium HMT 075,10,15,Plaque
Low,Rothia dentocariosa,8,17,Plaque
Low,Rothia aeria,8,17,Plaque
Low,Riemerella sp HMT 322,6,19,Plaque
Low,Prevotella melaninogenica,7,18,Plaque
Low,Porphyromonas sp HMT 930,8,17,Plaque
Low,Peptidiphaga sp HMT 183,10,15,Plaque
Low,Neisseria subflava,9,16,Plaque
Low,Neisseria perflava,12,13,Plaque
Low,Neisseria elongata,7,18,Plaque
Low,Leptotrichia sp HMT 498,10,15,Plaque
Low,Leptotrichia sp HMT 392,11,14,Plaque
Low,Leptotrichia sp HMT 215,8,17,Plaque
Low,Leptotrichia shahii,11,14,Plaque
Low,Leptotrichia hofstadii,10,15,Plaque
Low,Leptotrichia buccalis,8,17,Plaque
Low,Lachnoanaerobaculum umeaense,9,16,Plaque
Low,Haemophilus sp HMT 036,10,15,Plaque
Low,Granulicatella elegans,7,18,Plaque
Low,Gemella morbillorum,7,18,Plaque
Low,Corynebacterium durum,6,19,Plaque
Low,Cardiobacterium hominis,10,15,Plaque
Low,Capnocytophaga granulosa,6,19,Plaque
Low,Arachnia propionica,7,18,Plaque
Low,Alloprevotella sp HMT 914,10,15,Plaque
Low,Alloprevotella sp HMT 473,11,14,Plaque
Low,Aggregatibacter sp HMT 458,11,14,Plaque
Low,Actinomyces sp HMT 169,10,15,Plaque
Low,Actinomyces oris,9,16,Plaque
Low,Actinomyces massiliensis,7,18,Plaque
Low,Absconditabacteria SR1 G1 bacterium HMT 874,13,12,Plaque
