Taxon,pval,FDR
g__Streptococcus,0.012817279225108776,0.05282272650347859
g__Fusobacterium,0.01894834517424372,0.061073942004147196
g__Veillonella,0.01794216890376888,0.059515487095428476
g__Lautropia,1.4161973311009742e-4,0.003270409230519564
g__Prevotella,2.854449275169673e-4,0.003529137285664323
g__Neisseria,0.001612984914176526,0.01154557622778987
g__Lacticaseibacillus,0.01076976176197997,0.04724798708481535
g__Solobacterium,0.0030376665958254754,0.019672507477726888
g__Leptotrichia,1.8507192392531048e-4,0.003270409230519564
g__Bacteroidetes_[G-5],0.01698221635350756,0.059515487095428476
g__Capnocytophaga,0.0012011149835339729,0.009608919868271783
g__Alloprevotella,0.9846603303902758,0.9919541106153889
g__Haemophilus,8.94775126292096e-5,0.003270409230519564
g__Lancefieldella,3.390691611079833e-5,0.0023056702955342864
g__Parvimonas,0.24674784235645258,0.2868180047904064
g__Clostridiales_[F-3][G-1],0.047161706806839204,0.09033791726380466
g__Peptostreptococcus,0.05675672264379962,0.10156466157311511
g__Treponema,1.5493290006202338e-4,0.003270409230519564
g__Bacteroidales_[G-2],0.12129106065741505,0.15861138701354274
g__Tannerella,0.07093057310346254,0.11558970388015764
g__Dialister,2.2530077216285265e-5,0.0023056702955342864
g__Porphyromonas,1,1
g__Parascardovia,0.01141810830693827,0.048526960304487644
g__Granulicatella,0.05422011973701823,0.09831915045645971
g__Abiotrophia,5.103273136638804e-4,0.004957465332734838
g__Lactobacillus,9.574138085604163e-4,0.008138017372763538
g__Fannyhessea,0.040879170090847135,0.09033791726380466
g__Gemella,0.021106435839668515,0.061073942004147196
g__Saccharibacteria_(TM7)_[G-1],0.16978151990960158,0.21183749273124602
g__Klebsiella,0.028881271831140226,0.0770167248830406
g__Peptidiphaga,0.07734311068451724,0.11558970388015764
g__Campylobacter,0.4184502725082147,0.4626767240741236
g__Rothia,4.3355745784660947e-4,0.004913651188928241
g__Alloiococcus,0.08782172054942816,0.12706121270981097
g__Selenomonas,0.46429621551181716,0.5011451215048185
g__Scardovia,0.006638569349900539,0.036113817263458935
g__Actinomyces,1.2936590736199632e-4,0.003270409230519564
g__Oribacterium,0.008486247030436106,0.04121891414783251
g__Cardiobacterium,0.06788860626841411,0.11398580805560887
g__Bifidobacterium,0.06788860626841411,0.11398580805560887
g__Filifactor,0.007512649923150615,0.039296938059557064
g__Fretibacterium,5.531847267613154e-4,0.005015541522635926
g__Butyrivibrio,0.021106435839668515,0.061073942004147196
g__Catonella,0.07408122375681671,0.11558970388015764
g__Corynebacterium,2.2051037006713776e-4,0.003270409230519564
g__Aggregatibacter,0.11212531173328066,0.1524904239572617
g__Mycoplasma,0.004529533776882516,0.02800075425709192
g__Limosilactobacillus,0.09939316102723568,0.13793336632351075
g__Kingella,2.4047126694996796e-4,0.003270409230519564
g__Bacteroidetes_[G-3],4.7051656073882314e-4,0.004922327096959996
g__Lachnoanaerobaculum,0.006638569349900539,0.036113817263458935
g__Schaalia,0.027438605956265218,0.07463300820104139
g__Olsenella,0.01794216890376888,0.059515487095428476
g__Stomatobaculum,0.4882089448221264,0.5187220038735093
g__Riemerella,0.030387443310364606,0.07947485173479973
g__Peptostreptococcaceae_[G-7],0.42965954874080486,0.4712395050705601
g__Megasphaera,0.014362767324845118,0.05580961017654103
g__Pseudoleptotrichia,0.44103813939133146,0.4798494956577687
g__Ruminococcaceae_[G-1],0.12129106065741505,0.15861138701354274
g__Afipia,0.5004053056317171,0.5275590819063065
g__Saccharibacteria_(TM7)_[G-3],0.8929333190087916,0.9130746720691402
g__Saccharibacteria_(TM7)_[G-6],0.3548285295671718,0.3988155373647551
g__Peptococcus,0.04942507322512223,0.0933584716474531
g__Veillonellaceae_[G-1],2.4047126694996796e-4,0.003270409230519564
g__Cryptobacterium,0.11663881126432639,0.15551841501910185
g__Peptostreptococcaceae_[G-1],0.01794216890376888,0.059515487095428476
g__Arachnia,0.01076976176197997,0.04724798708481535
g__Peptostreptococcaceae_[G-9],0.024735511330496913,0.06865366410097103
g__Cutibacterium,0.09541037277353072,0.13377124430103274
g__Peptoniphilus,0.05422011973701823,0.09831915045645971
g__Absconditabacteria_(SR1)_[G-1],0.2975765259571755,0.34296955534047346
g__Acidipropionibacterium,0.0023044688484383517,0.01567038816938079
g__Microbacterium,0.16377927524424093,0.2081680507777268
g__Eikenella,0.5767798914423483,0.6034005018166105
g__Simonsiella,0.8475171866437985,0.8731995256330045
g__Shuttleworthia,0.021106435839668515,0.061073942004147196
g__Pseudoramibacter,0.033598809077048916,0.08159710775854737
g__Saccharibacteria_(TM7)_[G-4],0.14133430495375224,0.18306157594009814
g__Erysipelotrichaceae_[G-1],0.01698221635350756,0.059515487095428476
g__Pedobacter,0.09541037277353072,0.13377124430103274
g__Lachnospiraceae_[G-3],0.3066717836891773,0.3504820385019169
