Taxa_clean,A,P
Prevotella oris,22,3
Dialister invisus,20,5
Alloprevotella tannerae,24,1
Oribacterium sp. HMT 078,19,6
Solobacterium moorei,19,6
Prevotella sp. HMT 292,20,5
Lancefieldella rimae,20,5
Treponema sp. HMT 231,20,5
Peptococcus sp. HMT 167,21,4
Porphyromonas endodontalis,21,4
Corynebacterium matruchotii,4,21
Capnocytophaga sputigena,6,19
Abiotrophia defectiva,3,22
Fusobacterium periodonticum,6,19
Porphyromonas pasteri,7,18
Haemophilus parainfluenzae,4,21
Lautropia mirabilis,4,21
Streptococcus sanguinis,2,23
Neisseria flava,6,19
Streptococcus oralis subsp. dentisani clade 058,4,21
