Taxon,pval,FDR
p__Spirochaetes,1.5493290006202338e-4,0.0018591948007442806
p__Proteobacteria,5.103273136638804e-4,0.0022127389070452615
p__Synergistetes,5.531847267613154e-4,0.0022127389070452615
p__Bacteroidetes,8.867398332844626e-4,0.002660219499853388
p__Tenericutes,0.004529533776882516,0.010870881064518039
p__Chloroflexi,0.04498453253283139,0.08996906506566278
p__Actinobacteria,0.09939316102723568,0.17038827604668974
p__Saccharibacteria_(TM7),0.21638238692682304,0.32457358039023454
p__Absconditabacteria_(SR1),0.2975765259571755,0.396768701276234
p__Gracilibacteria_(GN02),0.34484058657034955,0.4138087038844194
p__Firmicutes,0.5900142022024174,0.6436518569480917
p__Fusobacteria,0.714773975516392,0.714773975516392
