Taxon,pval,FDR
g__Streptococcus_s__sanguinis,3.4250342451541162e-6,0.0015138651363581193
g__Alloprevotella_s__tannerae,1.1918362204376372e-5,0.002633958047167178
g__Dialister_s__invisus,8.146145376709993e-5,0.008682227740600637
g__Oribacterium_s__sp._HMT_078,8.94775126292096e-5,0.008682227740600637
g__Veillonellaceae_[G-1]_s__bacterium_HMT_150,9.821524593439635e-5,0.008682227740600637
g__Lautropia_s__mirabilis,1.4161973311009742e-4,0.00935866819154181
g__Prevotella_s__oris,1.5493290006202338e-4,0.00935866819154181
g__Fusobacterium_s__periodonticum,1.6938765957541738e-4,0.00935866819154181
g__Haemophilus_s__parainfluenzae,2.2051037006713776e-4,0.009662572726535076
g__Porphyromonas_s__endodontalis,2.4047126694996796e-4,0.009662572726535076
g__Kingella_s__oralis,2.4047126694996796e-4,0.009662572726535076
g__Capnocytophaga_s__sputigena,2.854449275169673e-4,0.009809474829178245
g__Prevotella_s__sp._HMT_292,3.1070734753053264e-4,0.009809474829178245
g__Selenomonas_s__sp._HMT_134,3.1070734753053264e-4,0.009809474829178245
g__Treponema_s__sp._HMT_231,3.379998627649952e-4,0.00995972928947519
g__Peptostreptococcaceae_[G-1]_s__[Eubacterium]_infirmum,3.674679006375477e-4,0.010151300755112254
g__Abiotrophia_s__defectiva,5.103273136638804e-4,0.013268510155260892
g__Streptococcus_s__cristatus_clade_578,5.531847267613154e-4,0.0135837582904723
g__Neisseria_s__flava,5.99295319679563e-4,0.013941501647282466
g__Peptococcus_s__sp._HMT_167,0.0010331526440727243,0.022832673434007206
g__Porphyromonas_s__pasteri,0.0011142746984871194,0.023452829368157468
g__Lancefieldella_s__rimae,0.0012011149835339729,0.023687434790169257
g__Treponema_s__maltophilum,0.0013933785170687797,0.023687434790169257
g__Fretibacterium_s__fastidiosum,0.0013933785170687797,0.023687434790169257
g__Fretibacterium_s__sp._HMT_360,0.001294026068346967,0.023687434790169257
g__Peptostreptococcaceae_[G-4]_s__bacterium_HMT_369,0.0013933785170687797,0.023687434790169257
g__Corynebacterium_s__matruchotii,0.001612984914176526,0.026405160446889796
g__Dialister_s__pneumosintes,0.001734077025363713,0.0273736444718129
g__Streptococcus_s__oralis_subsp._dentisani_clade_058,0.0018632882667641182,0.028399083238266905
g__Tannerella_s__forsythia,0.002001090585389794,0.028531678669106095
g__Fretibacterium_s__sp._HMT_359,0.002001090585389794,0.028531678669106095
g__Acidipropionibacterium_s__acidifaciens,0.0023044688484383517,0.031830475969054736
g__Solobacterium_s__moorei,0.0030376665958254754,0.03948966574573118
g__Olsenella_s__uli,0.0030376665958254754,0.03948966574573118
g__Lancefieldella_s__sp._HMT_199,0.0032508010811130466,0.04105297365291333
g__Neisseria_s__elongata,0.0034771743516668215,0.04269197398435375
g__Veillonellaceae_[G-1]_s__bacterium_HMT_145,0.004242890948427746,0.049351521031712205
g__Prevotella_s__sp._HMT_315,0.004242890948427746,0.049351521031712205
g__Mycoplasma_s__salivarium,0.004529533776882516,0.051334716138001855
g__Treponema_s__lecithinolyticum,0.004833225451290424,0.053407141236759194
g__Selenomonas_s__sputigena,0.005495214384340971,0.0578305894733026
g__Rothia_s__aeria,0.005495214384340971,0.0578305894733026
g__Corynebacterium_s__durum,0.0058553248315953805,0.060187292455003684
g__Treponema_s__socranskii,0.006638569349900539,0.06113015943033413
g__Leptotrichia_s__sp._HMT_215,0.006236111932033058,0.06113015943033413
g__Actinomyces_s__massiliensis,0.006638569349900539,0.06113015943033413
g__Fretibacterium_s__sp._HMT_358,0.006638569349900539,0.06113015943033413
g__Peptostreptococcaceae_[G-2]_s__bacterium_HMT_091,0.006236111932033058,0.06113015943033413
g__Granulicatella_s__elegans,0.0070637265600153815,0.0612189635201333
g__Mogibacterium_s__timidum,0.0070637265600153815,0.0612189635201333
g__Bacteroidetes_[G-3]_s__bacterium_HMT_281,0.0070637265600153815,0.0612189635201333
g__Filifactor_s__alocis,0.007512649923150615,0.06385752434678023
g__Veillonella_s__dispar,0.007986442889546141,0.06537051402184064
g__Treponema_s__denticola,0.007986442889546141,0.06537051402184064
g__Prevotella_s__pleuritidis,0.008486247030436106,0.06580563486759226
g__Bacteroidetes_[G-3]_s__bacterium_HMT_899,0.008486247030436106,0.06580563486759226
g__Slackia_s__exigua,0.008486247030436106,0.06580563486759226
g__Tannerella_s__sp._HMT_808,0.01015372105430132,0.07479907843335305
g__Prevotella_s__baroniae,0.01015372105430132,0.07479907843335305
g__Lachnospiraceae_[G-7]_s__bacterium_HMT_163,0.01015372105430132,0.07479907843335305
g__Alloprevotella_s__rava,0.01076976176197997,0.07677797901282495
g__Streptococcus_s__constellatus,0.01076976176197997,0.07677797901282495
g__Parascardovia_s__denticolens,0.01141810830693827,0.07885631049479243
g__Lactobacillus_s__gasseri,0.01141810830693827,0.07885631049479243
