pathway	description	100-A	100-P	71-A	71-P	72-A	72-P	73-A	73-P	74-A	74-P	75-A	75-P	76-A	76-P	77-A	77-P	78-A	78-P	79-A	79-P	80-A	80-P	81-A	81-P	82-A	82-P	83-A	83-P	84-A	84-P	85-A	85-P	86-A	86-P	87-A	87-P	88-A	88-P	89-A	89-P	90-A	90-P	91-A	91-P	92-A	92-P	93-A	93-P	94-A	94-P	95-A	95-P	96-A	96-P	97-A	97-P	99-A	99-P	PCR-Blank1	PCR-Blank2	Positive1	Positive2	Reagent-Blank1	Reagent-Blank2
12DICHLORETHDEG-PWY	1,2-dichloroethane degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.664855687606112	0.0	0.0	177.2575124783539	0.0	0.0	0.0	0.0	0.0	4.660194174757282	0.0	0.0	48.99348124649399	0.0	0.0	0.0	6.719449225473322	165.68221595099715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.491170924052804	0.0	0.0	64.07766990291262	0.0	0.0	4.642857142857142	0.0	0.0	0.0	0.0	0.0	0.0	24.96421236649183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.147980345861782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14DICHLORBENZDEG-PWY	1,4-dichlorobenzene degradation	101.16141071095352	0.0	158.11554089865146	0.0	0.0	0.0	156.7156344315631	0.0	42.637015564439785	0.0	600.4539693290117	0.0	2.6565384177143074	0.0	0.0	6.601232774527895	25.124884366327475	2.6615812960067124	0.0	50.14906084004162	0.0	14.05726373045252	0.0	16.64978006977097	264.6423287175154	0.0	0.0	0.0	0.0	1.985943210570706	0.0	13.313317040070618	0.0	44.24328147100424	0.0	0.0	99.78163999693744	0.0	91.6549322992174	31.85699442501704	0.0	0.0	0.0	0.0	0.0	2.666033096140368	0.0	0.0	1537.7547424108536	0.0	9.263607257203844	0.0	145.09204735959767	0.0	0.0	44.64513363635552	0.0	2.6567164179104474	0.0	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY	folate transformations III (E. coli)	18874.913169446383	21962.271446567083	17425.275806193276	12249.55015226157	17619.82875168227	15376.341901728534	9704.467023101352	21170.008427225723	25699.0190241682	11903.518400156756	16972.235055344514	20823.80665539384	1901.8648629619051	5139.74236800953	3141.9646939034146	10924.65938537819	3512.799874441666	19305.034562845263	12819.646660129498	23212.410207328187	27523.96981348725	2398.53307921074	19847.790369168983	1650.5944646608582	16791.6650456477	21290.645550291527	16409.77682017539	19255.283667933218	8831.187580987777	17619.34611054275	16652.897350190928	16757.069741273786	0.0	13195.03982180693	23921.248072670667	3.863375042272574	16846.04757908485	21434.12380518655	4968.8561003156055	8383.026344615917	9927.863256146942	7181.977536820378	8153.333357867422	7932.946053291355	222.39536039969755	14156.535450174304	15972.56853641936	17043.772799196977	9649.504433759486	16170.254857716682	19218.93900289207	22278.412772583117	5888.703134168335	9953.585604626882	8478.967305881624	20664.402905778534	159.3108612437442	19371.41733638498	25345.693550163214	26197.2412329212	7120.805405432343	4147.366185994283	26282.09367388563	6490.622259907577
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	0.0	3.795726226270199	0.0	2.592546558971999	0.0	23.112578072692536	33.57821312319641	0.0	0.0	0.0	329.2145755403708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.917640776756212	0.0	0.0	0.0	0.0	0.0	0.0	9.028521070216476	0.0	0.0	0.0	0.0	643.5254497798666	0.0	0.0	0.0	524.3165792304758	0.0	138.6164725210988	90.534079526245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.633507476093339	0.0	40.87787394649644	4.683994091747649	0.0	61.19923428544537	0.0	0.0	0.0	0.0	0.0	0.0	9.993076481189023	0.0
AEROBACTINSYN-PWY	aerobactin biosynthesis	0.0	39.13567839195979	0.0	0.0	0.0	0.0	0.0	1.0906420097697138	0.0	0.0	90.64057334598812	54.2560553633218	0.0	1.6452861721489642	0.0	0.0	4.285714285714286	0.0	3.3995584988962477	18.242338761379663	0.0	0.0	0.0	1.100026026604974	0.0	41.94915254237288	0.0	0.0	0.0	0.0	0.0	4.646134506599624	0.0	0.0	0.0	0.0	33.074475873544095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.015729205989683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.914285714285715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALLANTOINDEG-PWY	superpathway of allantoin degradation in yeast	11.50258367899681	11.775962042889589	957.786744434066	21.99710421674933	193.66754584681453	1587.9450093955725	493.61661860160086	19.25251106105891	4634.932727087915	1386.497959390338	2710.17004685862	0.0	6.992792266733282	125.80983240652768	15.279258541313304	21.444277600447062	42.27694002553628	16.859805669001815	105.03446636757744	180.33214618644456	51.34626772251687	54.53372521236158	0.0	116.5030789154535	2601.708499868921	9.845436368592331	1921.2547369463575	4968.136304088749	3.198891198891199	16.642850742315083	164.77480267066665	409.8729560700115	0.0	123.13024604018176	3987.600674046452	0.0	636.869885833177	242.00307982567028	227.96523861243972	69.60502555343973	61.02048381473281	6.895816090922465	20.53173347685323	60.347492818496455	48.10678255471053	540.7588719281471	288.201890507661	666.7152824119111	1821.002543968354	1.7167432308671078	66.47904970195712	7.375059558962691	481.6961728697726	40.03553939279266	150.3554516613493	133.7204626302394	0.0	20.88009083171718	6320.145367183125	502.79327084294914	2334.079712630365	1062.761762816407	7362.975335345764	0.0
ANAEROFRUCAT-PWY	homolactic fermentation	19331.757974155244	24998.311026817148	17132.345274870124	17031.332603593688	17793.235436499246	18424.10543406568	11106.138560136147	22865.3522115228	12428.827411378295	16576.01131594385	19448.80848549338	23324.089799222947	2046.1038913889472	9158.875627203008	594.8947936011639	10123.17988244984	2014.03057560285	17519.614917082334	22765.97067407553	32498.216075621247	28700.31140918909	2565.250322922178	13653.906967589592	1034.4448409482147	17008.807276347517	19276.76535845771	15780.448012687506	15992.441453154504	9257.11908718725	16899.37210723786	10604.953927902325	16786.684120473234	0.0	12392.22742995417	18908.109336104884	27.00033468192036	16577.22524571529	22894.811635452832	5682.0471216885135	10023.74710807191	10543.356182307682	7582.312654289016	6844.20471771728	6542.495181092379	175.02815377144256	16626.491537103266	11408.350323375991	15544.532870347652	6685.113547184265	17678.475695479832	20151.506167826108	22508.634921046785	6550.450430078382	12193.433732687	10028.997470286517	19503.278700219147	211.14194955463017	21968.57091379002	9631.91297684123	1421.979582932577	17558.226867840935	12704.830770330373	6071.746263233908	1902.4159285556243
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	25720.768439548392	29509.65041124873	25398.31360099608	19922.095130343117	24441.11735621475	22706.88862130896	13501.763666500505	26766.801283618985	24934.46755505122	19192.29215672351	24880.36564251663	28566.229555652924	103353.67323759376	82847.28119795746	38483.43182878571	25763.75083068584	45762.40508636055	40339.0789191179	42754.05072164286	43012.12326952664	45730.0768736302	47098.59731560048	44123.41421241812	50967.97725556082	23420.940154728007	27763.28074551632	19204.721810079325	22141.130795705125	12923.197250779736	20414.40932257952	19896.73509218812	20725.53884334421	0.0	15885.110416424255	27481.39010839743	38.97421585246947	21992.847154476516	27201.198292798726	7195.591196023972	12485.816743779578	12986.955011520156	9098.992955344616	10435.976661305844	9388.742904254652	240.9395229984464	17894.200988471017	20184.46383281128	21710.007813010077	11824.621601711142	21744.23078925957	25020.28885551314	25153.690519344997	8158.461191037142	14264.988060814418	13706.077161797202	25946.41869515183	275.30598816376886	24167.22923353688	24353.225796544644	24187.02364071939	17165.659349761176	12291.96657511292	25637.779726465407	8537.452687347673
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	5984.866823909159	3243.149299188363	4521.20555350413	2325.5086589283155	6741.511943367265	4230.963430057192	2101.5859140885027	5017.029504082425	11958.09367663768	5264.656509626682	4861.796391835917	3521.8790925880967	329.7470642583136	749.7196187764422	63.80879221401328	1710.818667757285	486.4585631363072	3655.839477022053	3175.1047098979657	3812.50403358278	6295.467342289638	426.9463510013057	2758.747026541072	360.4890790589248	5924.179813603098	3523.7613069341355	5850.194250598284	10778.740179855018	298.67931879441653	673.6614987590974	5000.622795686615	5928.934148540582	0.0	2786.8029265121904	9196.412242549064	0.0	3165.538841015402	5435.362074219381	4346.134203276351	3250.9530418467234	3127.965644081449	1278.6946486777902	954.6710700169574	1394.3364515150583	151.29064252392268	6188.440474586379	2074.4185388495225	3923.933344079269	3112.8615344976824	3241.249225842574	3731.34781391657	1776.7115478461096	1862.3189353754956	2136.867950006548	2055.706870141212	5382.109110458599	48.02554964973978	3120.939889475426	9811.044004532112	9645.033948562716	9749.973933586802	7139.463921635816	11856.816125523525	6643.0229009302575
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.501725057049875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.303051094778176	0.0	0.0	0.0	0.0	0.0	23.434768676457217	0.0	0.0	0.0	0.0	29.95350631859228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.40380949885679	0.0	0.0	32.484150132083926	23.28911811677068
